review_id,customer_id,product_id,rating,review_text,review_date,sentiment
R0021,104,45,5,와! 음향 효과 우수하고 볼륨 충분해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-04-22,Positive
R0022,932,98,5,이 제품 구매하길 잘했네요. 포장 깔끔하고 추천함합니다. 5점 드립니다!,2024-11-10,Positive
R0023,976,97,5,드론 미니 정말 만족합니다! 무선충전 편리하고 충전 빠름해서 추천드려요.,2025-03-20,Positive
R0024,297,47,3,평범한 제품인 것 같아요. 디자인 별로하고 쉽게 망가짐한 정도입니다.,2025-07-26,Neutral
R0025,243,93,3,나쁘지도 좋지도 않은 제품이에요. 너무 시끄러움하지만 진동 많음해서 3점 정도?,2024-12-18,Neutral
R0026,703,51,4,스피커 포터블 사용해보니 고음 선명하네요. 저음 좋음해서 만족스럽습니다.,2024-11-25,Positive
R0027,83,68,3,무선 충전 패드 보통 수준이네요. 전력 효율 나쁨하지만 충전 느림해서 그럭저럭이에요.,2025-05-14,Neutral
R0028,426,90,5,이 제품 구매하길 잘했네요. 마감 깔끔하고 재질 좋음합니다. 5점 드립니다!,2025-08-27,Positive
R0029,628,58,3,키보드 기계식 보통 수준이네요. 배송 늦음하지만 쉽게 망가짐해서 그럭저럭이에요.,2024-11-11,Neutral
R0030,191,93,5,스탠드 선풍기 사용해보니 밤에도 사용 가능하네요. 소음 적음해서 만족스럽습니다.,2025-02-01,Positive
R0031,205,80,3,포터블 SSD 사용 후기입니다. 브랜드 의심한 점은 좋지만 불편함한 게 아쉬워요.,2025-01-25,Neutral
R0032,647,33,5,액션캠 4K 정말 만족합니다! 가성비 좋음하고 디자인 예쁨해서 추천드려요.,2025-02-24,Positive
R0033,614,100,4,와! 가성비 좋음하고 실용적해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2024-10-28,Positive
R0034,712,95,2,기대했는데 아쉽네요. 쉽게 망가짐하고 실망스러움합니다. 2점이 적당한 것 같아요.,2025-04-20,Negative
R0035,342,54,4,로봇청소기 정말 만족합니다! 무음 모드 좋음하고 조용한 작동해서 추천드려요.,2025-01-11,Positive
R0036,878,94,3,후드 집업 그냥 그래요. 쉽게 망가짐한 편이지만 품질 아쉬움한 부분도 있어서 보통입니다.,2025-07-24,Neutral
R0037,929,77,3,여행용 캐리어 사용 후기입니다. 배송 늦음한 점은 좋지만 기대 이하한 게 아쉬워요.,2025-10-23,Neutral
R0038,255,37,2,파우치 가죽 후기입니다. 쉽게 망가짐해서 불만족이에요. 기대 이하하기까지 하네요.,2025-03-31,Negative
R0039,575,39,2,음... 품질 아쉬움하고 쉽게 망가짐해서 다시 사고 싶지 않아요.,2025-09-20,Negative
R0040,685,89,3,모니터 암 사용 후기입니다. 화면 작음한 점은 좋지만 명암비 별로한 게 아쉬워요.,2025-01-25,Neutral
R0041,206,25,5,전기밥솥 사용해보니 사용 편리하네요. 온도 조절 정확해서 만족스럽습니다.,2025-01-25,Positive
R0042,81,9,5,이 제품 구매하길 잘했네요. 추천함하고 내구성 좋음합니다. 5점 드립니다!,2025-01-26,Positive
R0043,756,83,1,외장 하드디스크 쓰면서 쉽게 망가짐한 게 가장 아쉬워요. 포장 엉성하기까지 해서 실망.,2024-11-13,Negative
R0044,599,16,4,의자 게이밍 사용해보니 내구성 좋음하네요. 빠른 배송해서 만족스럽습니다.,2025-02-18,Positive
R0045,863,54,4,로봇청소기 후기 남깁니다. 진동 없음해서 기대 이상이었어요. 소음 적음하기까지!,2024-12-06,Positive
R0046,132,40,3,커피머신 사용 후기입니다. 실망스러움한 점은 좋지만 배송 늦음한 게 아쉬워요.,2025-01-21,Neutral
R0047,911,12,3,인덕션 레인지 사용 후기입니다. 온도 조절 부정확한 점은 좋지만 기능 부족한 게 아쉬워요.,2025-06-13,Neutral
R0048,703,23,3,나쁘지도 좋지도 않은 제품이에요. 비싼 가격하지만 추천 안함해서 3점 정도?,2025-03-04,Neutral
R0049,789,68,4,무선 충전 패드 정말 만족합니다! 전력 효율 좋음하고 저전력 모드 우수해서 추천드려요.,2024-10-28,Positive
R0050,727,64,1,음... 금방 꺼짐하고 전력 효율 나쁨해서 다시 사고 싶지 않아요.,2025-01-21,Negative
R0051,726,84,3,평범한 제품인 것 같아요. 포장 엉성하고 브랜드 의심한 정도입니다.,2025-04-25,Neutral
R0052,181,47,2,음... 재질 안좋음하고 쉽게 망가짐해서 다시 사고 싶지 않아요.,2025-08-19,Negative
R0053,590,3,4,게이밍 키보드 정말 만족합니다! 품질 우수하고 브랜드 신뢰해서 추천드려요.,2024-11-14,Positive
R0054,7,10,3,건조기 사용 후기입니다. 너무 시끄러움한 점은 좋지만 소음 심함한 게 아쉬워요.,2025-03-10,Neutral
R0055,10,66,4,이 제품 구매하길 잘했네요. 디자인 예쁨하고 빠른 배송합니다. 4점 드립니다!,2025-05-08,Positive
R0056,734,10,1,건조기 후기입니다. 소음 심함해서 불만족이에요. 이웃 민원하기까지 하네요.,2025-08-28,Negative
R0057,22,29,2,기대했는데 아쉽네요. 비싼 가격하고 포장 엉성합니다. 2점이 적당한 것 같아요.,2025-09-03,Negative
R0058,90,45,5,프리미엄 무선 이어폰 정말 만족합니다! 저음 좋음하고 음질 최고해서 추천드려요.,2025-04-15,Positive
R0059,236,5,4,향수 프랑스 사용해보니 고급스러움하네요. 브랜드 가치해서 만족스럽습니다.,2025-07-31,Positive
R0060,774,84,5,이 제품 구매하길 잘했네요. 추천함하고 내구성 좋음합니다. 5점 드립니다!,2024-12-16,Positive
R0061,211,76,1,사운드바 쓰면서 음향 효과 별로한 게 가장 아쉬워요. 왜곡 심함하기까지 해서 실망.,2025-07-06,Negative
R0062,55,92,4,비데 정말 만족합니다! 가성비 좋음하고 빠른 배송해서 추천드려요.,2025-06-03,Positive
R0063,928,23,4,이 제품 구매하길 잘했네요. 추천함하고 브랜드 신뢰합니다. 4점 드립니다!,2024-12-16,Positive
R0064,735,94,3,나쁘지도 좋지도 않은 제품이에요. 비싼 가격하지만 실망스러움해서 3점 정도?,2025-09-19,Neutral
R0065,472,30,3,평범한 제품인 것 같아요. 청소 어려움하고 기능 부족한 정도입니다.,2024-12-26,Neutral
R0066,33,22,3,평범한 제품인 것 같아요. 답답함하고 보온성 부족한 정도입니다.,2025-06-26,Neutral
R0067,653,30,5,에어프라이어 정말 만족합니다! 온도 조절 정확하고 청소 쉬움해서 추천드려요.,2025-09-21,Positive
R0068,621,49,2,음... 마감 거칠음하고 가짜 같음해서 다시 사고 싶지 않아요.,2025-05-05,Negative
R0069,182,64,4,노트북 Pro 후기 남깁니다. 대기시간 길음해서 기대 이상이었어요. 배터리 오래감하기까지!,2025-06-10,Positive
R0070,467,51,3,나쁘지도 좋지도 않은 제품이에요. 소리 끊김하지만 잡음 많음해서 3점 정도?,2025-03-14,Neutral
R0071,646,94,1,후드 집업 실망이에요. 품질 아쉬움하고 기대 이하해서 별로예요.,2025-10-05,Negative
R0072,274,3,2,게이밍 키보드 쓰면서 불편함한 게 가장 아쉬워요. 포장 엉성하기까지 해서 실망.,2025-02-21,Negative
R0073,751,53,3,평범한 제품인 것 같아요. 착용감 불편하고 보온성 부족한 정도입니다.,2025-07-22,Neutral
R0074,885,69,2,원피스 플라워 쓰면서 불편함한 게 가장 아쉬워요. 브랜드 의심하기까지 해서 실망.,2025-02-25,Negative
R0075,632,23,5,와! 추천함하고 디자인 예쁨해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-10-28,Positive
R0076,293,99,1,선풍기 실망이에요. 이웃 민원하고 진동 많음해서 별로예요.,2025-06-14,Negative
R0077,160,76,1,기대했는데 아쉽네요. 잡음 많음하고 소음 심함합니다. 1점이 적당한 것 같아요.,2024-12-31,Negative
R0078,166,46,4,와! 포장 깔끔하고 디자인 예쁨해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-02-08,Positive
R0079,970,96,1,삼각대 프로 후기입니다. 쉽게 망가짐해서 불만족이에요. 추천 안함하기까지 하네요.,2024-12-01,Negative
R0080,231,58,3,키보드 기계식 보통 수준이네요. 기대 이하하지만 포장 엉성해서 그럭저럭이에요.,2025-05-19,Neutral
R0081,607,61,3,무선청소기 사용 후기입니다. 충전 안됨한 점은 좋지만 전력 소모 큼한 게 아쉬워요.,2025-07-21,Neutral
R0082,924,75,3,냉장고 양문형 보통 수준이네요. 밤에 못씀하지만 소음 심함해서 그럭저럭이에요.,2025-08-24,Neutral
R0083,31,53,2,기대했는데 아쉽네요. 사이즈 안맞음하고 거칠음합니다. 2점이 적당한 것 같아요.,2025-01-11,Negative
R0084,143,10,4,건조기 후기 남깁니다. 조용한 작동해서 기대 이상이었어요. 밤에도 사용 가능하기까지!,2025-07-29,Positive
R0085,756,25,2,음... 에너지 많이 먹음하고 청소 어려움해서 다시 사고 싶지 않아요.,2025-09-28,Negative
R0086,164,39,2,전기히터 실망이에요. 쉽게 망가짐하고 브랜드 의심해서 별로예요.,2025-01-24,Negative
R0087,216,69,5,원피스 플라워 사용해보니 포장 깔끔하네요. 품질 우수해서 만족스럽습니다.,2025-09-04,Positive
R0088,53,84,2,물병 스테인리스 후기입니다. 비싼 가격해서 불만족이에요. 포장 엉성하기까지 하네요.,2025-10-16,Negative
R0089,694,98,1,제습기 후기입니다. 비싼 가격해서 불만족이에요. 브랜드 의심하기까지 하네요.,2025-05-06,Negative
R0090,498,45,4,프리미엄 무선 이어폰 후기 남깁니다. 무선 연결 안정해서 기대 이상이었어요. 노이즈 캔슬링 좋음하기까지!,2025-04-05,Positive
R0091,79,48,3,평범한 제품인 것 같아요. 번짐 현상하고 시야각 좁음한 정도입니다.,2025-10-19,Neutral
R0092,970,73,4,캐주얼 백팩 후기 남깁니다. 만족스러움해서 기대 이상이었어요. 품질 우수하기까지!,2025-06-11,Positive
R0093,25,10,5,건조기 사용해보니 무음 모드 좋음하네요. 진동 없음해서 만족스럽습니다.,2025-09-23,Positive
R0094,584,71,4,이 제품 구매하길 잘했네요. 사용 편리하고 에너지 효율합니다. 4점 드립니다!,2025-05-24,Positive
R0095,233,65,3,속옷 세트 보통 수준이네요. 방수 안됨하지만 보온성 부족해서 그럭저럭이에요.,2025-05-07,Neutral
R0096,935,95,3,나쁘지도 좋지도 않은 제품이에요. 비싼 가격하지만 불편함해서 3점 정도?,2024-11-30,Neutral
R0097,482,78,2,시계 프리미엄 쓰면서 쉽게 망가짐한 게 가장 아쉬워요. 재질 안좋음하기까지 해서 실망.,2025-08-15,Negative
R0098,319,8,4,이 제품 구매하길 잘했네요. 품질 우수하고 만족스러움합니다. 4점 드립니다!,2024-11-26,Positive
R0099,712,19,1,전기장판 실망이에요. 비싼 가격하고 브랜드 의심해서 별로예요.,2025-04-30,Negative
R0100,779,64,4,와! 전력 효율 좋음하고 저전력 모드 우수해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-07-13,Positive
R0101,712,51,3,스피커 포터블 그냥 그래요. 음향 효과 별로한 편이지만 연결 불안정한 부분도 있어서 보통입니다.,2025-10-11,Neutral
R0102,679,75,1,음... 진동 많음하고 너무 시끄러움해서 다시 사고 싶지 않아요.,2025-08-28,Negative
R0103,700,33,5,액션캠 4K 사용해보니 품질 우수하네요. 브랜드 신뢰해서 만족스럽습니다.,2025-08-06,Positive
R0104,575,87,5,비즈니스 셔츠 후기 남깁니다. 신축성 좋음해서 기대 이상이었어요. 편안함하기까지!,2025-10-15,Positive
R0105,542,39,4,와! 추천함하고 가성비 좋음해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2024-11-22,Positive
R0106,580,49,1,기대했는데 아쉽네요. 저렴해 보임하고 쉽게 망가짐합니다. 1점이 적당한 것 같아요.,2025-09-24,Negative
R0107,460,86,4,와! 만족스러움하고 추천함해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-07-17,Positive
R0108,900,74,1,기대했는데 아쉽네요. 비싼 가격하고 브랜드 의심합니다. 1점이 적당한 것 같아요.,2025-09-24,Negative
R0109,900,47,4,반지 다이아몬드 후기 남깁니다. 디자인 예쁨해서 기대 이상이었어요. 재질 좋음하기까지!,2025-09-04,Positive
R0110,181,47,5,와! 실용적하고 고급스러움해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-04-24,Positive
R0111,415,14,5,와! 추천함하고 만족스러움해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-03-31,Positive
R0112,743,38,2,수영복 실망이에요. 쉽게 망가짐하고 기대 이하해서 별로예요.,2025-07-16,Negative
R0113,496,45,5,프리미엄 무선 이어폰 정말 만족합니다! 볼륨 충분하고 저음 좋음해서 추천드려요.,2025-07-01,Positive
R0114,549,78,4,시계 프리미엄 후기 남깁니다. 수납 공간 넉넉해서 기대 이상이었어요. 마감 깔끔하기까지!,2025-03-18,Positive
R0115,457,14,2,기대했는데 아쉽네요. 추천 안함하고 실망스러움합니다. 2점이 적당한 것 같아요.,2025-07-19,Negative
R0116,271,18,4,운동 매트 후기 남깁니다. 가성비 좋음해서 기대 이상이었어요. 포장 깔끔하기까지!,2025-10-11,Positive
R0117,680,33,3,평범한 제품인 것 같아요. 품질 아쉬움하고 비싼 가격한 정도입니다.,2025-03-28,Neutral
R0118,166,37,5,와! 포장 깔끔하고 내구성 좋음해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2024-11-15,Positive
R0119,58,40,1,커피머신 쓰면서 배송 늦음한 게 가장 아쉬워요. 실망스러움하기까지 해서 실망.,2025-09-19,Negative
R0120,111,75,5,이 제품 구매하길 잘했네요. 무음 모드 좋음하고 밤에도 사용 가능합니다. 5점 드립니다!,2025-09-29,Positive
R0121,686,75,3,냉장고 양문형 사용 후기입니다. 이웃 민원한 점은 좋지만 진동 많음한 게 아쉬워요.,2024-12-16,Neutral
R0122,143,68,5,무선 충전 패드 후기 남깁니다. 충전 빠름해서 기대 이상이었어요. 배터리 수명 긴하기까지!,2025-08-10,Positive
R0123,909,35,4,이 제품 구매하길 잘했네요. 빠른 배송하고 디자인 예쁨합니다. 4점 드립니다!,2025-04-27,Positive
R0124,935,17,3,평범한 제품인 것 같아요. 진동 많음하고 너무 시끄러움한 정도입니다.,2025-04-15,Neutral
R0125,915,61,2,무선청소기 후기입니다. 전력 소모 큼해서 불만족이에요. 충전 안됨하기까지 하네요.,2025-06-22,Negative
R0126,829,56,4,어댑터 멀티 사용해보니 열 관리 우수하네요. 발열 적음해서 만족스럽습니다.,2025-08-21,Positive
R0127,574,66,4,스카프 캐시미어 사용해보니 브랜드 신뢰하네요. 만족스러움해서 만족스럽습니다.,2024-12-28,Positive
R0128,759,19,2,음... 불편함하고 추천 안함해서 다시 사고 싶지 않아요.,2024-11-24,Negative
R0129,548,5,3,나쁘지도 좋지도 않은 제품이에요. 마감 거칠음하지만 재질 안좋음해서 3점 정도?,2025-04-21,Neutral
R0130,243,10,2,기대했는데 아쉽네요. 이웃 민원하고 밤에 못씀합니다. 2점이 적당한 것 같아요.,2025-04-07,Negative
R0131,323,23,3,평범한 제품인 것 같아요. 품질 아쉬움하고 기대 이하한 정도입니다.,2025-04-16,Neutral
R0132,211,90,1,목걸이 골드 실망이에요. 수납 부족하고 가짜 같음해서 별로예요.,2024-10-30,Negative
R0133,349,62,3,나쁘지도 좋지도 않은 제품이에요. 소리 끊김하지만 잡음 많음해서 3점 정도?,2025-01-22,Neutral
R0134,135,39,1,기대했는데 아쉽네요. 브랜드 의심하고 기대 이하합니다. 1점이 적당한 것 같아요.,2025-09-07,Negative
R0135,381,29,5,와! 포장 깔끔하고 내구성 좋음해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-06-29,Positive
R0136,517,34,5,김치냉장고 사용해보니 조용한 작동하네요. 밤에도 사용 가능해서 만족스럽습니다.,2025-02-07,Positive
R0137,149,83,3,외장 하드디스크 사용 후기입니다. 배송 늦음한 점은 좋지만 비싼 가격한 게 아쉬워요.,2025-07-26,Neutral
R0138,13,90,4,목걸이 골드 정말 만족합니다! 디자인 예쁨하고 수납 공간 넉넉해서 추천드려요.,2025-09-13,Positive
R0139,204,46,4,마우스 패드 후기 남깁니다. 만족스러움해서 기대 이상이었어요. 빠른 배송하기까지!,2025-01-02,Positive
R0140,331,75,3,냉장고 양문형 보통 수준이네요. 소음 심함하지만 밤에 못씀해서 그럭저럭이에요.,2025-08-25,Neutral
R0141,664,19,2,전기장판 실망이에요. 품질 아쉬움하고 기대 이하해서 별로예요.,2025-03-29,Negative
R0142,999,75,5,와! 진동 없음하고 무음 모드 좋음해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-10-14,Positive
R0143,229,47,3,평범한 제품인 것 같아요. 마감 거칠음하고 가짜 같음한 정도입니다.,2025-04-29,Neutral
R0144,177,25,3,나쁘지도 좋지도 않은 제품이에요. 타이머 고장하지만 사용 복잡해서 3점 정도?,2025-05-22,Neutral
R0145,725,68,1,기대했는데 아쉽네요. 충전 느림하고 전력 효율 나쁨합니다. 1점이 적당한 것 같아요.,2025-02-13,Negative
R0146,740,15,4,이 제품 구매하길 잘했네요. 무선충전 편리하고 저전력 모드 우수합니다. 4점 드립니다!,2024-12-30,Positive
R0147,209,50,5,마사지 건 후기 남깁니다. 가성비 좋음해서 기대 이상이었어요. 포장 깔끔하기까지!,2025-07-28,Positive
R0148,647,75,1,냉장고 양문형 실망이에요. 이웃 민원하고 소음 심함해서 별로예요.,2025-09-27,Negative
R0149,78,48,4,모니터 27인치 정말 만족합니다! 화질 선명하고 명암비 좋음해서 추천드려요.,2025-05-29,Positive
R0150,241,71,5,토스터기 사용해보니 에너지 효율하네요. 기능 다양해서 만족스럽습니다.,2025-03-06,Positive
R0151,720,60,2,히터 실망이에요. 품질 아쉬움하고 실망스러움해서 별로예요.,2025-03-31,Negative
R0152,236,39,3,전기히터 보통 수준이네요. 포장 엉성하지만 기대 이하해서 그럭저럭이에요.,2025-03-15,Neutral
R0153,996,89,1,모니터 암 실망이에요. 시야각 좁음하고 화면 작음해서 별로예요.,2025-07-16,Negative
R0154,377,16,4,의자 게이밍 정말 만족합니다! 추천함하고 디자인 예쁨해서 추천드려요.,2025-07-09,Positive
R0155,583,87,4,비즈니스 셔츠 후기 남깁니다. 부드러움해서 기대 이상이었어요. 보온성 좋음하기까지!,2025-07-22,Positive
R0156,617,39,1,전기히터 후기입니다. 배송 늦음해서 불만족이에요. 포장 엉성하기까지 하네요.,2025-01-18,Negative
R0157,222,92,1,기대했는데 아쉽네요. 불편함하고 브랜드 의심합니다. 1점이 적당한 것 같아요.,2025-10-15,Negative
R0158,810,29,5,등산복 정말 만족합니다! 빠른 배송하고 만족스러움해서 추천드려요.,2024-11-03,Positive
R0159,535,85,1,가죽 재킷 쓰면서 사이즈 안맞음한 게 가장 아쉬워요. 보온성 부족하기까지 해서 실망.,2025-10-05,Negative
R0160,241,34,2,김치냉장고 쓰면서 진동 많음한 게 가장 아쉬워요. 소음 심함하기까지 해서 실망.,2024-12-05,Negative
R0161,792,31,4,와! 추천함하고 만족스러움해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-03-28,Positive
R0162,88,87,2,비즈니스 셔츠 실망이에요. 방수 안됨하고 착용감 불편해서 별로예요.,2025-01-25,Negative
R0163,393,61,4,무선청소기 후기 남깁니다. 저전력 모드 우수해서 기대 이상이었어요. 전력 효율 좋음하기까지!,2025-10-09,Positive
R0164,351,87,2,비즈니스 셔츠 실망이에요. 보온성 부족하고 신축성 부족해서 별로예요.,2024-12-15,Negative
R0165,118,3,4,이 제품 구매하길 잘했네요. 가성비 좋음하고 품질 우수합니다. 4점 드립니다!,2025-04-14,Positive
R0166,629,28,3,양말 5족세트 보통 수준이네요. 배송 늦음하지만 브랜드 의심해서 그럭저럭이에요.,2025-03-14,Neutral
R0167,880,18,3,운동 매트 사용 후기입니다. 기대 이하한 점은 좋지만 배송 늦음한 게 아쉬워요.,2025-01-29,Neutral
R0168,849,12,1,음... 에너지 많이 먹음하고 타이머 고장해서 다시 사고 싶지 않아요.,2025-03-16,Negative
R0169,327,71,5,와! 온도 조절 정확하고 에너지 효율해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-09-25,Positive
R0170,848,19,3,나쁘지도 좋지도 않은 제품이에요. 품질 아쉬움하지만 기대 이하해서 3점 정도?,2025-10-19,Neutral
R0171,939,20,4,와! 품질 우수하고 디자인 예쁨해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-08-26,Positive
R0172,708,58,5,이 제품 구매하길 잘했네요. 내구성 좋음하고 브랜드 신뢰합니다. 5점 드립니다!,2025-09-05,Positive
R0173,934,88,3,메인보드 B550 사용 후기입니다. 비싼 가격한 점은 좋지만 품질 불량한 게 아쉬워요.,2025-09-06,Neutral
R0174,557,98,1,음... 품질 아쉬움하고 브랜드 의심해서 다시 사고 싶지 않아요.,2024-12-24,Negative
R0175,2,69,5,원피스 플라워 정말 만족합니다! 브랜드 신뢰하고 가성비 좋음해서 추천드려요.,2025-03-10,Positive
R0176,385,16,2,의자 게이밍 쓰면서 비싼 가격한 게 가장 아쉬워요. 불편함하기까지 해서 실망.,2025-08-13,Negative
R0177,40,38,1,수영복 쓰면서 배송 늦음한 게 가장 아쉬워요. 불편함하기까지 해서 실망.,2025-10-15,Negative
R0178,446,2,4,와! 포장 깔끔하고 만족스러움해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-04-23,Positive
R0179,74,71,2,토스터기 쓰면서 사용 복잡한 게 가장 아쉬워요. 요리 안됨하기까지 해서 실망.,2024-11-24,Negative
R0180,238,84,3,물병 스테인리스 보통 수준이네요. 비싼 가격하지만 품질 아쉬움해서 그럭저럭이에요.,2025-06-25,Neutral
R0181,995,62,2,음... 잡음 많음하고 음질 나쁨해서 다시 사고 싶지 않아요.,2025-04-10,Negative
R0182,444,97,3,드론 미니 사용 후기입니다. 충전 느림한 점은 좋지만 전력 소모 큼한 게 아쉬워요.,2024-11-22,Neutral
R0183,685,69,1,음... 불편함하고 포장 엉성해서 다시 사고 싶지 않아요.,2025-02-25,Negative
R0184,351,63,1,믹서기 쓰면서 밤에 못씀한 게 가장 아쉬워요. 이웃 민원하기까지 해서 실망.,2025-06-14,Negative
R0185,434,4,1,음성인식 스피커 후기입니다. 소리 끊김해서 불만족이에요. 볼륨 작음하기까지 하네요.,2024-12-27,Negative
R0186,1000,51,5,와! 음질 최고하고 음향 효과 우수해서 너무 좋아요. 다음에도 이 브랜드로 살 예정입니다.,2025-05-27,Positive
R0187,832,75,4,냉장고 양문형 정말 만족합니다! 밤에도 사용 가능하고 조용한 작동해서 추천드려요.,2025-09-02,Positive
R0188,644,86,5,이 제품 구매하길 잘했네요. 실용적하고 내구성 좋음합니다. 5점 드립니다!,2025-09-28,Positive
R0189,601,50,5,마사지 건 정말 만족합니다! 빠른 배송하고 내구성 좋음해서 추천드려요.,2025-02-19,Positive
R0190,650,46,2,마우스 패드 쓰면서 배송 늦음한 게 가장 아쉬워요. 불편함하기까지 해서 실망.,2025-08-31,Negative
R0191,185,17,2,에어컨 벽걸이 실망이에요. 너무 시끄러움하고 밤에 못씀해서 별로예요.,2024-12-16,Negative
R0192,179,39,4,전기히터 후기 남깁니다. 가성비 좋음해서 기대 이상이었어요. 빠른 배송하기까지!,2025-09-17,Positive
R0193,771,13,5,블루투스 스피커 정말 만족합니다! 무선 연결 안정하고 음향 효과 우수해서 추천드려요.,2024-11-20,Positive
R0194,18,39,1,음... 브랜드 의심하고 품질 아쉬움해서 다시 사고 싶지 않아요.,2024-12-21,Negative
R0195,961,33,3,나쁘지도 좋지도 않은 제품이에요. 추천 안함하지만 실망스러움해서 3점 정도?,2024-12-28,Neutral
R0196,511,99,2,기대했는데 아쉽네요. 진동 많음하고 밤에 못씀합니다. 2점이 적당한 것 같아요.,2025-04-19,Negative
R0197,976,42,4,클러치백 사용해보니 포장 깔끔하네요. 가성비 좋음해서 만족스럽습니다.,2024-12-30,Positive
R0198,503,16,5,이 제품 구매하길 잘했네요. 브랜드 신뢰하고 실용적합니다. 5점 드립니다!,2025-07-10,Positive
R0199,936,2,4,압력솥 사용해보니 실용적하네요. 가성비 좋음해서 만족스럽습니다.,2025-06-06,Positive
R0200,850,5,5,향수 프랑스 사용해보니 마감 깔끔하네요. 수납 공간 넉넉해서 만족스럽습니다.,2025-01-24,Positive
R0201,180,1,1,넥타이 실크 쓰면서 기대 이하한 게 가장 아쉬워요. 포장 엉성하기까지 해서 실망.,2025-09-03,Negative
R0202,679,6,2,음... 불편함하고 포장 엉성해서 다시 사고 싶지 않아요.,2025-09-04,Negative
R0203,128,44,1,보조배터리 후기입니다. 추천 안함해서 불만족이에요. 포장 엉성하기까지 하네요.,2025-03-27,Negative
R0204,207,64,2,기대했는데 아쉽네요. 전력 효율 나쁨하고 충전 느림합니다. 2점이 적당한 것 같아요.,2025-05-27,Negative
R0205,551,69,5,원피스 플라워 사용해보니 실용적하네요. 빠른 배송해서 만족스럽습니다.,2025-09-16,Positive
